protein,TE,25_gray,50_gray,75_gray
100.0,9,137.0,134.0,131.0
100.0,18,137.0,134.0,132.0
100.0,27,146.0,143.0,142.0
100.0,36,149.0,146.0,144.0
100.0,45,153.0,151.0,150.0
100.0,54,159.0,156.0,154.0
100.0,63,164.0,161.0,159.0
100.0,72,168.0,166.0,164.0
100.0,81,171.0,168.0,167.0
100.0,90,176.0,174.0,172.0
100.0,99,179.0,176.0,175.0
100.0,108,184.0,182.0,180.0
100.0,117,186.0,184.0,183.0
100.0,126,191.0,188.0,187.0
100.0,135,192.0,191.0,190.0
100.0,144,197.0,194.0,193.0
100.0,153,199.0,197.0,196.0
100.0,162,201.0,200.0,199.0
100.0,171,206.0,204.0,202.0
100.0,180,207.0,205.0,203.0
100.0,189,210.0,208.0,207.0
100.0,198,212.0,210.0,209.0
100.0,207,215.0,213.0,212.0
100.0,216,216.0,215.0,214.0
100.0,225,219.0,217.0,216.0
50.0,9,118.0,111.0,107.0
50.0,18,120.0,113.0,110.0
50.0,27,123.0,116.0,112.0
50.0,36,127.0,120.0,116.0
50.0,45,127.0,120.0,117.0
50.0,54,133.0,126.0,121.0
50.0,63,135.0,128.0,124.0
50.0,72,137.0,131.0,127.0
50.0,81,139.0,133.0,129.0
50.0,90,142.0,136.0,132.0
50.0,99,144.0,138.0,135.0
50.0,108,147.0,141.0,137.0
50.0,117,148.0,143.0,139.0
50.0,126,152.0,147.0,143.0
50.0,135,153.0,147.0,144.0
50.0,144,157.0,152.0,148.0
50.0,153,157.0,152.0,148.0
50.0,162,160.0,154.0,151.0
50.0,171,162.0,157.0,153.0
50.0,180,164.0,158.0,155.0
50.0,189,167.0,161.0,157.0
50.0,198,168.0,163.0,159.0
50.0,207,170.0,166.0,162.0
50.0,216,172.0,167.0,164.0
50.0,225,175.0,169.0,166.0
25.0,9,103.0,97.0,95.0
25.0,18,105.0,99.0,97.0
25.0,27,106.0,100.0,98.0
25.0,36,109.0,103.0,101.0
25.0,45,107.0,102.0,100.0
25.0,54,112.0,106.0,104.0
25.0,63,112.0,107.0,105.0
25.0,72,114.0,109.0,107.0
25.0,81,115.0,110.0,108.0
25.0,90,116.0,112.0,110.0
25.0,99,118.0,113.0,111.0
25.0,108,121.0,115.0,113.0
25.0,117,121.0,116.0,114.0
25.0,126,124.0,119.0,117.0
25.0,135,123.0,118.0,117.0
25.0,144,128.0,123.0,121.0
25.0,153,126.0,121.0,119.0
25.0,162,129.0,124.0,122.0
25.0,171,130.0,125.0,123.0
25.0,180,130.0,126.0,124.0
25.0,189,132.0,128.0,126.0
25.0,198,134.0,129.0,128.0
25.0,207,135.0,130.0,128.0
25.0,216,136.0,132.0,130.0
25.0,225,138.0,134.0,132.0
12.5,9,101.0,95.0,92.0
12.5,18,102.0,96.0,93.0
12.5,27,103.0,97.0,93.0
12.5,36,104.0,99.0,96.0
12.5,45,102.0,96.0,94.0
12.5,54,106.0,100.0,97.0
12.5,63,107.0,101.0,97.0
12.5,72,107.0,101.0,97.0
12.5,81,108.0,102.0,98.0
12.5,90,108.0,102.0,98.0
12.5,99,110.0,104.0,100.0
12.5,108,111.0,105.0,101.0
12.5,117,111.0,105.0,102.0
12.5,126,112.0,107.0,103.0
12.5,135,112.0,106.0,103.0
12.5,144,115.0,110.0,106.0
12.5,153,113.0,108.0,104.0
12.5,162,115.0,110.0,106.0
12.5,171,115.0,110.0,106.0
12.5,180,116.0,110.0,107.0
12.5,189,117.0,111.0,107.0
12.5,198,118.0,112.0,110.0
12.5,207,118.0,112.0,109.0
12.5,216,119.0,114.0,111.0
12.5,225,120.0,114.0,111.0
6.25,9,96.0,91.0,88.0
6.25,18,96.0,92.0,89.0
6.25,27,97.0,93.0,89.0
6.25,36,98.0,94.0,91.0
6.25,45,96.0,91.0,88.0
6.25,54,99.0,94.0,91.0
6.25,63,100.0,95.0,91.0
6.25,72,98.0,95.0,91.0
6.25,81,100.0,95.0,92.0
6.25,90,99.0,95.0,91.0
6.25,99,101.0,96.0,93.0
6.25,108,101.0,97.0,93.0
6.25,117,102.0,97.0,94.0
6.25,126,103.0,97.0,95.0
6.25,135,102.0,97.0,94.0
6.25,144,105.0,100.0,96.0
6.25,153,102.0,97.0,95.0
6.25,162,103.0,99.0,96.0
6.25,171,104.0,98.0,96.0
6.25,180,103.0,99.0,96.0
6.25,189,105.0,99.0,96.0
6.25,198,106.0,102.0,98.0
6.25,207,105.0,100.0,96.0
6.25,216,106.0,102.0,99.0
6.25,225,107.0,101.0,97.0
0.0,9,92.0,87.0,83.0
0.0,18,92.0,88.0,84.0
0.0,27,89.0,86.0,82.0
0.0,36,92.0,87.0,83.0
0.0,45,89.0,85.0,81.0
0.0,54,91.0,85.0,80.0
0.0,63,93.0,88.0,84.0
0.0,72,91.0,85.0,81.0
0.0,81,92.0,89.0,84.0
0.0,90,91.0,86.0,82.0
0.0,99,93.0,88.0,84.0
0.0,108,92.0,88.0,84.0
0.0,117,92.0,88.0,83.0
0.0,126,92.0,88.0,84.0
0.0,135,91.0,86.0,81.0
0.0,144,94.0,89.0,85.0
0.0,153,91.0,87.0,82.0
0.0,162,93.0,88.0,84.0
0.0,171,91.0,86.0,81.0
0.0,180,94.0,89.0,85.0
0.0,189,90.0,86.0,82.0
0.0,198,95.0,90.0,86.0
0.0,207,90.0,85.0,81.0
0.0,216,94.0,89.0,84.0
0.0,225,90.0,85.0,81.0
