protein,TE,25_gray,50_gray,75_gray
100.0,9,65.0,59.0,56.0
100.0,18,78.0,72.0,69.0
100.0,27,92.0,86.0,82.0
100.0,36,102.0,97.0,94.0
100.0,45,114.0,110.0,108.0
100.0,54,124.0,119.0,116.0
100.0,63,134.0,129.0,127.0
100.0,72,143.0,139.0,137.0
100.0,81,152.0,149.0,147.0
100.0,90,159.0,155.0,153.0
100.0,99,167.0,164.0,162.0
100.0,108,173.0,169.0,167.0
100.0,117,181.0,178.0,176.0
100.0,126,186.0,183.0,181.0
100.0,135,192.0,190.0,188.0
100.0,144,197.0,194.0,193.0
100.0,153,201.0,198.0,196.0
100.0,162,207.0,204.0,203.0
100.0,171,210.0,208.0,207.0
100.0,180,215.0,213.0,211.0
100.0,189,215.0,213.0,211.0
100.0,198,222.0,219.0,217.0
100.0,207,225.0,224.0,223.0
100.0,216,227.0,225.0,224.0
100.0,225,231.0,229.0,228.0
50.0,9,73.0,63.0,57.0
50.0,18,79.0,69.0,63.0
50.0,27,84.0,74.0,69.0
50.0,36,90.0,81.0,75.0
50.0,45,96.0,88.0,82.0
50.0,54,100.0,92.0,87.0
50.0,63,105.0,97.0,91.0
50.0,72,111.0,103.0,99.0
50.0,81,117.0,110.0,104.0
50.0,90,121.0,112.0,109.0
50.0,99,126.0,118.0,113.0
50.0,108,130.0,122.0,118.0
50.0,117,135.0,128.0,124.0
50.0,126,140.0,133.0,128.0
50.0,135,144.0,137.0,133.0
50.0,144,148.0,141.0,137.0
50.0,153,149.0,144.0,140.0
50.0,162,155.0,149.0,145.0
50.0,171,158.0,152.0,149.0
50.0,180,163.0,156.0,153.0
50.0,189,162.0,156.0,153.0
50.0,198,169.0,162.0,159.0
50.0,207,172.0,167.0,163.0
50.0,216,174.0,169.0,166.0
50.0,225,178.0,172.0,168.0
25.0,9,78.0,66.0,58.0
25.0,18,79.0,68.0,61.0
25.0,27,82.0,71.0,63.0
25.0,36,85.0,74.0,66.0
25.0,45,89.0,78.0,70.0
25.0,54,90.0,80.0,73.0
25.0,63,93.0,82.0,74.0
25.0,72,96.0,86.0,79.0
25.0,81,101.0,90.0,82.0
25.0,90,100.0,90.0,85.0
25.0,99,105.0,94.0,87.0
25.0,108,106.0,96.0,89.0
25.0,117,110.0,100.0,93.0
25.0,126,113.0,103.0,95.0
25.0,135,114.0,106.0,98.0
25.0,144,117.0,107.0,100.0
25.0,153,117.0,109.0,102.0
25.0,162,122.0,112.0,106.0
25.0,171,124.0,115.0,108.0
25.0,180,127.0,117.0,111.0
25.0,189,127.0,117.0,111.0
25.0,198,131.0,122.0,116.0
25.0,207,132.0,124.0,117.0
25.0,216,134.0,126.0,120.0
25.0,225,137.0,128.0,121.0
12.5,9,79.0,68.0,62.0
12.5,18,78.0,68.0,62.0
12.5,27,80.0,69.0,63.0
12.5,36,81.0,70.0,64.0
12.5,45,84.0,73.0,66.0
12.5,54,84.0,74.0,68.0
12.5,63,85.0,74.0,67.0
12.5,72,87.0,77.0,71.0
12.5,81,91.0,80.0,73.0
12.5,90,89.0,79.0,74.0
12.5,99,92.0,82.0,75.0
12.5,108,92.0,82.0,77.0
12.5,117,95.0,85.0,79.0
12.5,126,96.0,86.0,80.0
12.5,135,98.0,88.0,82.0
12.5,144,98.0,89.0,82.0
12.5,153,98.0,89.0,82.0
12.5,162,102.0,92.0,86.0
12.5,171,103.0,93.0,87.0
12.5,180,105.0,95.0,89.0
12.5,189,105.0,95.0,89.0
12.5,198,108.0,97.0,92.0
12.5,207,107.0,97.0,91.0
12.5,216,109.0,98.0,92.0
12.5,225,109.0,99.0,93.0
6.25,9,85.0,75.0,66.0
6.25,18,84.0,74.0,66.0
6.25,27,85.0,75.0,66.0
6.25,36,85.0,74.0,67.0
6.25,45,87.0,77.0,68.0
6.25,54,87.0,77.0,70.0
6.25,63,87.0,77.0,68.0
6.25,72,88.0,78.0,71.0
6.25,81,92.0,81.0,72.0
6.25,90,89.0,79.0,72.0
6.25,99,92.0,82.0,73.0
6.25,108,92.0,81.0,73.0
6.25,117,94.0,83.0,74.0
6.25,126,93.0,83.0,76.0
6.25,135,96.0,85.0,77.0
6.25,144,95.0,85.0,77.0
6.25,153,95.0,84.0,76.0
6.25,162,96.0,87.0,79.0
6.25,171,97.0,87.0,79.0
6.25,180,98.0,89.0,80.0
6.25,189,98.0,88.0,80.0
6.25,198,100.0,90.0,82.0
6.25,207,99.0,89.0,81.0
6.25,216,100.0,90.0,81.0
6.25,225,99.0,89.0,82.0
0.0,9,65.0,59.0,56.0
0.0,18,63.0,58.0,55.0
0.0,27,64.0,59.0,56.0
0.0,36,63.0,59.0,57.0
0.0,45,64.0,58.0,56.0
0.0,54,64.0,59.0,57.0
0.0,63,62.0,57.0,54.0
0.0,72,65.0,58.0,56.0
0.0,81,65.0,60.0,58.0
0.0,90,63.0,58.0,56.0
0.0,99,66.0,59.0,56.0
0.0,108,63.0,58.0,55.0
0.0,117,66.0,60.0,57.0
0.0,126,65.0,60.0,58.0
0.0,135,66.0,60.0,57.0
0.0,144,64.0,60.0,58.0
0.0,153,65.0,57.0,54.0
0.0,162,65.0,60.0,58.0
0.0,171,65.0,58.0,55.0
0.0,180,66.0,61.0,58.0
0.0,189,66.0,61.0,58.0
0.0,198,67.0,62.0,59.0
0.0,207,64.0,58.0,56.0
0.0,216,63.0,58.0,55.0
0.0,225,64.0,58.0,55.0
