,100,50,25,12.5,6.25,0
9,134.29005524861878,111.73428331936296,98.35656836461126,95.50867507886434,91.38897280966768,87.09267912772586
18,134.43739130434784,113.65812650120097,100.54112983151634,96.6779388083736,92.56,87.92228390166534
27,143.6444007858546,116.6098169717138,100.85919055649242,96.75,92.6550079491256,85.62956945572705
36,145.89922480620154,120.10032102728732,104.61686526122824,98.9001547987616,93.82678428227746,87.1599353796446
45,151.32914798206278,120.81389961389962,102.50877192982455,96.79163439194423,91.64810126582279,84.7401998462721
54,156.09075043630017,126.15955631399316,107.4601851851852,100.2823712948518,94.18189102564102,85.03800475059381
63,161.29032258064518,128.453231292517,107.73333333333332,100.55812163202464,94.73888888888888,88.22605965463109
72,165.75244010647737,130.80343213728548,109.61441013460015,101.25162337662337,94.28441064638784,85.76533115290269
81,168.93525179856115,133.48641765704582,111.13581395348837,102.35478547854785,95.38947368421051,88.22948328267478
90,174.11513463324047,136.27132412672626,112.26036484245441,102.61050875729774,94.95121951219511,85.5434262948207
99,176.57563025210084,138.71120000000002,114.03522504892368,103.54609375000001,95.86750788643533,87.86374314800312
108,181.65666372462488,141.53633491311217,115.72906793048972,105.27607843137255,96.62,87.68979266347688
117,184.10008779631255,142.9255150554675,116.36170212765958,105.3907595927956,97.1204268292683,87.29334365325079
126,188.58563535911603,147.16775244299674,119.39024390243901,107.31062449310625,97.70846153846153,87.68153364632238
135,190.7493309545049,147.61270670147957,119.11475409836066,106.50231124807397,97.24550430023456,86.174936921783
144,194.05426356589146,152.11547714514836,123.46875,110.12163265306123,99.72749590834698,89.07698056801195
153,197.07959743824335,151.9152677857714,122.10204081632654,107.94696969696969,97.50575594781273,86.23790322580646
162,199.71193415637862,154.65403624382208,124.33669185558355,110.0566037735849,98.84312148028962,88.41639610389609
171,203.8269058295964,157.14261019878995,125.52200172562553,110.21153846153845,98.84683239775461,85.94902293967715
180,204.80246913580248,158.50926743159752,126.2427107959023,110.63621533442088,98.6735632183908,89.04153354632587
189,208.23454545454547,161.29527896995708,128.38898450946644,111.24858299595141,99.26194144838212,85.86443381180223
198,209.917004048583,162.64310344827587,130.01921397379914,112.68300395256918,101.66036249014974,89.87242472266243
207,213.22848664688428,165.5324980422866,131.19311663479925,112.38625954198474,99.45869394177814,85.03309692671394
216,214.859649122807,167.20365535248044,132.23268482490272,114.05276381909547,101.93740095087162,88.70494417862838
225,217.14649122807018,169.71640560593568,134.204991087344,114.18209640397859,101.5857497928749,84.9390902081727
