,0,0.1,0.13,0.15
9,61.585899513776326,44.056406685236766,57.04507405022537,77.06448839208943
18,60.73584905660377,45.72435897435898,58.140992167101814,75.8138528138528
27,63.70826161790018,47.08160442600277,58.61122244488979,78.73697478991596
36,63.99497907949791,49.29938059187887,60.33247422680412,78.02104300091491
45,67.06758957654722,48.64021887824899,59.69447929736512,79.99035087719298
54,65.59723352318957,51.36096256684493,62.090380890897364,78.0977675134719
63,67.61734287987272,49.95919778699863,60.626053143227466,78.48551360842845
72,67.70552147239263,62.43994861913936,52.61538461538461,79.32913518052058
81,69.50833333333333,53.363510711817554,62.38775510204081,79.2388178913738
90,70.16890080428954,53.53492884864167,63.006422607578685,80.3832428238945
99,72.75118110236221,56.56727518593644,64.68579052701801,80.67892376681615
108,69.14943457189014,54.46779440468444,63.62434554973822,79.16473509933775
117,72.69561752988048,57.083445491251695,64.70874424720577,80.42291838417148
126,75.28306451612903,59.03527815468115,67.03915275994865,83.39567233384852
135,75.55097087378641,60.16973125884016,66.6487012987013,80.77833333333334
144,75.96962025316455,60.842650103519674,68.48604060913706,83.02364066193854
153,76.55646481178397,61.81121751025992,68.32452366318378,81.29915188897456
162,78.01757188498402,67.63113145846958,60.608154803040776,83.930405965203
171,79.12818336162988,70.16217908578585,65.37862068965518,82.29725228975855
180,81.34786399302527,63.87229729729731,70.4865925441465,84.67924528301887
189,80.01603849238171,67.6233586731168,72.05767984445885,83.90797546012269
198,82.18124006359301,64.88036593947925,70.28915662650601,84.25596184419715
207,81.58184764991896,67.72310756972112,72.32694848084543,84.89976507439312
216,83.05721393034827,66.93651832460733,71.43489254108724,83.33333333333334
225,84.06235011990407,70.10790378006874,73.51439790575915,86.33435582822085
