,100,50,25,12.5,6.25,0
9,123.34472049689441,101.05558194774346,90.90711462450594,89.91306369130638,86.70772946859904,79.61481481481482
18,135.5604099244876,112.45112781954887,97.81486742424244,95.22528216704288,90.52309782608697,80.88419029312831
27,154.86397449521786,120.06067415730337,100.49508196721311,95.46030330062445,88.71108120233288,80.79709443099273
36,165.35938359933957,130.83929422985216,108.94439024390243,101.2846614463381,94.06896551724137,81.38696060037523
45,165.43550165380375,130.95109455053563,109.13390313390315,101.17042837402118,94.25893675527038,81.37316094516274
54,165.30714675395527,131.04255319148936,108.97698945349953,101.3903120633442,94.12768942937325,81.69386745796243
63,196.29004076878277,152.75533980582526,121.55011547344111,107.54297407912688,96.64153627311521,81.11111111111111
72,201.94184782608696,157.73049976646428,124.44145420207744,109.0897552130553,97.0994909763998,83.19675925925927
81,210.04938271604937,165.39362745098038,129.3905325443787,111.70348304307976,98.78772258669167,80.52626685262669
90,213.22436670687574,168.35044525929806,132.3298127700432,112.7346553352219,99.41599621391387,83.25187969924812
99,220.59496004917025,176.27506053268763,138.18203766296475,116.85498346717051,101.69016786570742,81.82310642377757
108,222.39332201471422,178.75547250400427,139.87843137254902,117.98120481927711,101.70165484633569,84.70666666666668
117,228.05431309904154,184.62596899224806,144.2029657089898,120.61668228678539,103.42239776951672,81.38188017535313
126,230.00240384615384,188.47773501924132,147.23773225345403,122.26271186440678,104.50575263662512,83.98980087421077
135,233.49775784753362,192.72174840085287,150.3349168646081,124.42432432432432,105.53591160220995,83.82965451055662
144,235.97011621472052,196.5727047146402,154.00855855855855,126.16231263383298,106.6809675947056,81.64556377079484
153,239.0,200.54184003698566,157.73698884758363,129.51908731899957,110.08367071524967,84.71297107800174
162,240.48827586206897,203.26333493512735,160.1228293096146,130.2278751603249,108.77360139860139,82.64309444708115
171,242.59453302961276,207.25729681185453,163.58919382504288,132.9482392872295,111.18253968253967,82.47914893617022
180,242.37172104926424,208.17218543046357,164.5078985160364,132.83821478382148,110.26168224299064,83.52975609756098
189,246.54674046740467,214.3186215235792,170.69709543568464,139.06643002028397,116.0,85.0
198,247.54255319148936,218.10995052226497,175.54550264550267,142.4820512820513,118.55561497326204,85.92872570194385
207,248.0,219.23093681917211,176.48521647307285,142.20546654099905,117.07233009708739,84.78890775325411
216,247.5018281535649,219.84365781710915,175.971340839304,140.52456647398844,114.2258064516129,83.24459078080903
225,249.0,220.65792129162463,177.81096605744125,142.72239583333334,117.43090638930164,82.71388577827548
