,100,50,25,12.5,6.25,0
9,144.6477201748907,127.14350538854225,110.82771338250791,112.50026357406432,108.60417782538832,97.22440318302387
18,153.08090185676394,133.9867663981588,115.23783488244942,114.91552990556139,109.11930926216641,96.88010752688172
27,171.28481012658227,143.09085714285715,120.74863982589773,117.70123203285422,111.40255591054313,97.18550106609808
36,177.4900193174501,149.01376936316694,124.22234699606963,119.50742311770944,111.66877637130801,97.56800000000001
45,190.34820867379005,155.96944444444443,129.57183580387687,123.06052767718572,114.4194893173528,97.07267759562842
54,197.58087753765554,162.61049107142856,133.90599230346345,125.30997876857751,114.65749073583908,98.58473199783433
63,203.89819944598338,167.35095011876484,136.08617795187465,124.84391534391534,114.91685022026431,96.46600331674958
72,210.69786096256684,173.6482878699942,142.06781485468247,129.43452699091395,118.28008298755188,99.44559585492229
81,214.73333333333335,176.82569898869718,143.36692223439212,129.73128702207862,117.1357180431352,98.36989247311828
90,220.22596843615494,182.91453524641298,147.86140845070423,132.5747592498733,119.18957345971563,99.10243632336656
99,224.4675896790434,186.6616331096197,150.57494646680942,133.78225806451613,118.93060785368479,98.40851553509782
108,227.3588354773189,189.61288450377248,153.46115973741794,135.84074457083764,120.28111587982832,98.31335149863762
117,231.26016884113585,193.58777239709443,156.4609375,136.776294714362,120.5028871391076,96.72951739618406
126,233.85237140948564,197.857984678845,160.55144256940665,140.3997884717081,123.82248520710058,98.95447241564005
135,236.0759587020649,200.6957928802589,162.57426273458447,140.89134808853117,123.43948717948717,98.19999999999999
144,239.425468164794,205.2471198156682,166.38797232570516,143.61675392670156,125.49758713136728,99.60054054054055
153,240.4513018322083,206.79905715969358,168.0436241610738,144.88621219887239,125.58894736842106,96.76416621694548
162,241.93323216995447,210.57079152731328,172.51549295774646,148.9570747217806,129.0371549893843,101.34294703723126
171,244.43286219081273,212.24216027874564,172.6775442477876,147.51462621885156,127.03524945770064,97.72611816675871
180,244.9016,215.48447204968943,176.4945235487404,151.03096636412172,129.79651162790697,101.44004524886878
189,245.5193199381762,216.90194920259893,178.06858407079648,152.53592336349124,130.97978723404253,98.63458213256484
198,247.39835916134913,219.1853471842537,179.93941018766756,151.83627858627858,129.77669376693768,97.6860401955459
207,248.0,221.3472485768501,182.9098666666667,154.82150537634408,132.15608465608466,99.35194585448392
216,248.54864864864865,224.35028976175144,185.96238425925924,157.112661498708,134.04092339979013,99.75896304467733
225,249.0,224.84190948543088,187.44438264738596,157.88697017268447,133.99947117927024,99.04497501388119
