,x,y,w,h,protein,TE,avg_gray,25_gray,50_gray,75_gray
1,380,91,75,50,0.09,108,177.75055803571428,170.0,177.0,182.0
1,506,89,68,47,0.17,108,183.86459709379128,180.0,183.0,187.0
1,649,86,62,44,0.15,108,174.87693498452012,169.0,175.0,178.0
1,786,84,60,43,0.17,108,173.25691056910568,169.0,174.0,177.0
1,904,87,63,45,0.15,108,172.50223546944858,168.0,173.0,175.0
1,1033,83,62,42,0.0,108,171.25560975609756,168.0,172.0,175.0
2,365,188,76,48,0.07,108,185.01907514450866,179.0,186.0,189.0
2,509,187,72,49,0.15,108,198.08652729384437,190.0,197.0,204.0
2,636,186,69,47,0.13,108,191.77994791666666,187.0,191.0,196.0
2,787,180,67,46,0.15,108,196.78866340097971,189.0,197.0,202.0
2,929,176,67,45,0.13,108,182.99575371549895,175.0,183.0,189.0
2,1045,181,66,41,0.0,108,182.45639097744362,174.0,183.0,187.0
3,369,288,77,49,0.08,108,189.7926089354661,182.0,189.0,195.0
3,503,286,75,49,0.14,108,203.3131373725255,194.0,203.0,210.0
3,644,292,72,50,0.13,108,188.72040452111838,180.0,188.0,196.0
3,785,278,69,47,0.14,108,201.1641397495056,193.0,201.0,208.0
3,917,274,68,45,0.13,108,191.05194805194805,187.0,191.0,195.0
4,369,384,81,52,0.07,108,192.34707903780068,184.0,192.0,199.0
4,505,380,73,48,0.13,108,190.48995271867614,184.0,189.0,196.0
4,648,380,72,47,0.12,108,200.21299638989169,191.0,199.0,207.0
4,788,375,71,47,0.13,108,200.91969407265773,193.0,201.0,207.0
4,926,378,69,47,0.12,108,188.89948119325553,183.0,188.0,193.0
5,375,486,78,49,0.07,108,189.02029312288613,179.0,190.0,195.0
5,504,483,76,49,0.12,108,196.96646171045276,188.0,197.0,203.0
5,649,473,74,49,0.11,108,201.92426108374383,196.0,202.0,207.0
5,794,470,71,47,0.12,108,195.69136597938143,189.0,195.0,202.0
5,935,472,70,46,0.11,108,184.3996138996139,180.0,184.0,188.0
6,372,576,80,50,0.06,108,190.3302752293578,183.0,190.0,195.0
6,508,577,75,51,0.11,108,196.68174204355108,188.0,196.0,204.0
6,648,571,72,47,0.1,108,196.78637770897834,188.0,197.0,203.0
6,784,573,70,48,0.11,108,198.15341959334566,191.0,197.0,203.0
6,932,570,70,45,0.1,108,184.516,181.0,184.0,188.0
7,385,674,78,51,0.07,108,188.9418604651163,183.0,189.0,194.0
7,529,669,73,48,0.1,108,206.46299694189602,195.0,208.0,214.0
7,652,663,68,46,0.1,108,217.553324099723,210.0,217.0,224.0
7,787,666,68,45,0.1,108,210.66526610644257,205.0,210.0,215.0
7,931,669,67,44,0.1,108,198.59237536656892,193.0,199.0,203.0
8,411,767,78,49,0.06,108,196.4536213468869,191.0,197.0,202.0
8,546,760,65,42,0.09,108,207.6633813495072,200.0,207.0,215.0
8,681,757,59,39,0.09,108,201.0221198156682,192.0,201.0,208.0
8,786,755,58,39,0.09,108,202.32637571157494,194.0,202.0,209.0
8,910,761,62,39,0.09,108,195.82347826086956,189.0,195.0,201.0
1,380,91,75,50,0.09,117,176.2451317296678,171.0,176.0,180.0
1,506,89,68,47,0.17,117,180.83873190902827,176.0,182.0,185.0
1,649,86,62,43,0.15,117,169.0,165.0,169.0,172.0
1,786,84,60,44,0.17,117,171.74294923448832,168.0,172.0,175.0
1,904,87,63,45,0.15,117,168.2599704579025,164.0,168.0,171.0
1,1033,83,62,42,0.0,117,167.35274542429283,164.0,168.0,170.0
2,366,188,75,48,0.07,117,183.8057757644394,180.0,183.0,187.0
2,509,187,73,49,0.15,117,195.1796966161027,187.0,195.0,202.0
2,636,186,69,47,0.13,117,183.5574603174603,181.0,183.0,186.0
2,787,180,67,46,0.15,117,192.33713901947615,188.0,192.0,197.0
2,929,176,67,45,0.13,117,178.7446068197634,170.0,177.0,186.0
2,1045,181,65,41,0.0,117,175.59138187221396,169.0,175.0,181.0
3,369,288,77,49,0.08,117,188.11556064073227,182.0,189.0,192.0
3,504,286,74,49,0.14,117,197.81580510992276,189.0,198.0,204.0
3,644,292,72,50,0.13,117,183.8227923627685,177.0,183.0,189.0
3,785,278,69,47,0.14,117,196.71007853403142,188.0,196.0,203.0
3,917,274,68,45,0.13,117,186.2683923705722,182.0,186.0,190.0
4,369,384,81,52,0.07,117,190.16501976284584,183.0,190.0,195.0
4,505,380,74,48,0.13,117,183.85850746268656,177.0,183.0,188.0
