,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
1,390,93,64,42,0.0901,clIscA1/clCry4,108,182.28501628664495,176.0,183.0,187.0
1,512,90,56,40,0.1701,clIscA1/clCry4(LB +FAC),108,176.1222014925373,170.0,177.0,179.0
1,657,86,51,36,0.1501,clIscA1/clCry4,108,157.8467650397276,152.0,158.0,162.0
1,794,85,50,36,0.1702,clIscA1/clCry4(LB +FAC),108,159.63425925925927,152.0,160.0,164.0
1,910,88,53,37,0.1502,clIscA1/clCry4,108,164.13066954643628,159.0,165.0,168.0
1,1037,85,51,34,0.0001,clIscA1,108,172.35196195005946,167.0,172.0,178.0
2,375,188,65,41,0.0701,clIscA1/clCry4,108,193.07281177381876,187.0,193.0,197.0
2,518,188,62,41,0.1501,clIscA1/clCry4(LB +FAC),108,197.30541871921181,191.0,197.0,201.0
2,640,187,60,40,0.1301,clIscA1/clCry4,108,181.7958818263205,177.0,182.0,186.0
2,796,180,56,38,0.1502,clIscA1/clCry4(LB +FAC),108,193.77303588748788,188.0,195.0,197.0
2,939,177,55,36,0.1302,clIscA1/clCry4,108,179.58428246013668,173.0,180.0,186.0
2,1047,183,55,34,0.0002,clIscA1,108,175.4906900328587,168.0,176.0,181.0
3,380,289,66,42,0.0801,clIscA1/clCry4,108,193.03579588728104,186.0,193.0,198.0
3,512,287,62,41,0.1401,clIscA1/clCry4(LB +FAC),108,205.21668029435813,198.0,205.0,211.0
3,652,295,60,42,0.1303,clIscA1/clCry4,108,187.1437125748503,183.0,187.0,191.0
3,792,279,58,39,0.1402,clIscA1/clCry4(LB +FAC),108,201.44274809160305,195.0,201.0,207.0
3,922,274,58,39,0.1304,clIscA1/clCry4,108,189.6601752677702,185.0,189.0,194.0
4,381,384,68,46,0.0702,clIscA1/clCry4,108,190.8374673629243,184.0,190.0,197.0
4,512,381,62,41,0.1301,clIscA1/clCry4(LB +FAC),108,190.76048387096773,185.0,190.0,196.0
4,656,381,61,40,0.1201,clIscA1/clCry4,108,202.453125,196.0,201.0,209.0
4,795,375,59,39,0.1302,clIscA1/clCry4(LB +FAC),108,201.34460694698356,194.0,201.0,207.0
4,932,379,60,40,0.1202,clIscA1/clCry4,108,190.10865724381625,186.0,190.0,194.0
5,386,487,67,44,0.0701,clIscA1/clCry4(LB +FAC),108,191.26186943620178,182.0,191.0,198.0
