,Unnamed: 0,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
636,2,375,188,65,41,0.0701,clIscA1/clCry4,27,201.75652173913045,197.0,202.0,206.0
510,2,376,188,63,41,0.0701,clIscA1/clCry4,207,187.06601466992663,180.0,188.0,191.0
594,2,376,188,64,41,0.0701,clIscA1/clCry4,225,188.85803921568623,185.0,188.0,193.0
48,2,376,188,63,41,0.0701,clIscA1/clCry4,117,196.67116759332805,193.0,196.0,201.0
846,2,375,188,65,41,0.0701,clIscA1/clCry4,72,196.72778222578063,191.0,198.0,200.0
132,2,375,188,65,41,0.0701,clIscA1/clCry4,135,192.169992019154,186.0,193.0,195.0
468,2,375,188,64,41,0.0701,clIscA1/clCry4,198,188.3831851253032,182.0,190.0,192.0
720,2,375,188,65,41,0.0701,clIscA1/clCry4,45,204.27147487844408,199.0,205.0,209.0
888,2,376,188,64,41,0.0701,clIscA1/clCry4,81,199.9593698175788,195.0,200.0,205.0
426,2,376,188,63,41,0.0701,clIscA1/clCry4,189,191.8488,187.0,191.0,196.0
930,2,375,188,65,41,0.0701,clIscA1/clCry4,9,207.85134037367996,202.0,209.0,211.0
552,2,375,188,64,41,0.0701,clIscA1/clCry4,216,181.3594249201278,177.0,180.0,186.0
384,2,376,188,63,41,0.0701,clIscA1/clCry4,180,192.9273162939297,189.0,192.0,197.0
342,2,375,188,65,41,0.0701,clIscA1/clCry4,18,200.39233278955956,194.0,202.0,204.0
972,2,375,188,65,41,0.0701,clIscA1/clCry4,90,199.6351132686084,195.0,199.0,204.0
762,2,375,188,65,41,0.0701,clIscA1/clCry4,54,204.86303501945525,198.0,205.0,209.0
300,2,376,188,63,41,0.0701,clIscA1/clCry4,171,189.03372549019608,183.0,190.0,192.0
174,2,376,188,63,41,0.0701,clIscA1/clCry4,144,195.7660961695192,191.0,195.0,201.0
258,2,375,188,65,41,0.0701,clIscA1/clCry4,162,190.85,184.0,192.0,194.0
1014,2,376,188,64,41,0.0701,clIscA1/clCry4,99,193.8357371794872,187.0,194.0,198.0
6,2,375,188,65,41,0.0701,clIscA1/clCry4,108,193.0728117738188,187.0,193.0,197.0
90,2,376,188,63,41,0.0701,clIscA1/clCry4,126,195.1839464882943,190.0,195.0,199.0
678,2,375,188,64,41,0.0701,clIscA1/clCry4,36,201.5212323064113,197.0,202.0,205.0
216,2,376,188,63,41,0.0701,clIscA1/clCry4,153,194.59618441971384,191.0,194.0,199.0
804,2,375,188,65,41,0.0701,clIscA1/clCry4,63,198.46989835809225,193.0,199.0,201.0
101,4,380,384,69,46,0.0702,clIscA1/clCry4,126,192.09402283411688,185.0,193.0,198.0
605,4,381,384,68,46,0.0702,clIscA1/clCry4,225,186.54979811574697,178.0,187.0,192.0
647,4,380,384,69,46,0.0702,clIscA1/clCry4,27,199.48545706371192,192.0,200.0,204.0
437,4,381,384,68,46,0.0702,clIscA1/clCry4,189,189.48070412999323,181.0,190.0,194.0
479,4,381,384,68,46,0.0702,clIscA1/clCry4,198,185.79296615792967,179.0,187.0,190.0
143,4,381,384,68,46,0.0702,clIscA1/clCry4,135,190.21475195822453,182.0,191.0,195.0
395,4,381,384,68,46,0.0702,clIscA1/clCry4,180,190.7867298578199,183.0,190.0,197.0
353,4,380,384,69,46,0.0702,clIscA1/clCry4,18,198.43683510638297,191.0,199.0,204.0
311,4,381,384,68,46,0.0702,clIscA1/clCry4,171,186.23901098901095,180.0,186.0,192.0
269,4,380,384,69,46,0.0702,clIscA1/clCry4,162,188.45872170439412,181.0,190.0,193.0
185,4,381,384,68,46,0.0702,clIscA1/clCry4,144,193.82202771699488,186.0,193.0,202.0
227,4,381,384,68,46,0.0702,clIscA1/clCry4,153,191.4255042290176,183.0,192.0,197.0
