,Unnamed: 0,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
636,2,365,188,76,48,0.0701,clIscA1/clCry4,27,194.6080229226361,189.0,195.0,199.0
510,2,365,188,76,48,0.0701,clIscA1/clCry4,207,173.1226851851852,168.0,174.0,177.0
594,2,365,188,76,48,0.0701,clIscA1/clCry4,225,174.16987740805604,168.0,174.0,179.0
48,2,366,188,75,48,0.0701,clIscA1/clCry4,117,183.8057757644394,180.0,183.0,187.0
846,2,365,188,76,48,0.0701,clIscA1/clCry4,72,187.2606451612903,183.0,188.0,191.0
132,2,366,188,75,48,0.0701,clIscA1/clCry4,135,184.247491638796,179.0,184.0,188.0
468,2,366,188,75,48,0.0701,clIscA1/clCry4,198,175.04991491775382,170.0,175.0,178.0
720,2,365,188,76,48,0.0701,clIscA1/clCry4,45,190.13344594594597,185.0,190.0,194.0
888,2,366,188,75,48,0.0701,clIscA1/clCry4,81,189.23128119800333,184.0,189.0,193.0
426,2,365,188,76,48,0.0701,clIscA1/clCry4,189,172.5571166768479,168.0,173.0,177.0
930,2,365,188,76,48,0.0701,clIscA1/clCry4,9,195.3832369942197,190.0,195.0,199.0
552,2,366,188,75,48,0.0701,clIscA1/clCry4,216,169.6990005878895,166.0,169.0,173.0
384,2,366,188,75,48,0.0701,clIscA1/clCry4,180,176.60871995528228,172.0,177.0,180.0
342,2,365,188,76,48,0.0701,clIscA1/clCry4,18,195.68757126567849,191.0,196.0,199.0
972,2,365,188,76,48,0.0701,clIscA1/clCry4,90,187.4806288601909,183.0,188.0,191.0
762,2,365,188,76,48,0.0701,clIscA1/clCry4,54,187.94759036144575,183.0,188.0,192.0
300,2,366,188,75,48,0.0701,clIscA1/clCry4,171,177.99277376320177,173.0,178.0,181.0
174,2,366,188,75,48,0.0701,clIscA1/clCry4,144,176.04648526077096,170.0,176.0,180.0
258,2,366,188,75,48,0.0701,clIscA1/clCry4,162,176.17118155619596,172.0,176.0,180.0
1014,2,366,188,75,48,0.0701,clIscA1/clCry4,99,185.2462479155086,180.0,185.0,189.0
6,2,365,188,76,48,0.0701,clIscA1/clCry4,108,185.01907514450863,179.0,186.0,189.0
90,2,365,188,76,48,0.0701,clIscA1/clCry4,126,180.66295427901525,175.0,182.0,184.0
678,2,365,188,76,48,0.0701,clIscA1/clCry4,36,189.62373887240355,185.0,190.0,193.0
216,2,365,188,76,48,0.0701,clIscA1/clCry4,153,179.5187074829932,174.0,180.0,183.0
804,2,365,188,76,48,0.0701,clIscA1/clCry4,63,189.79033164699268,185.0,190.0,193.0
101,4,369,384,81,52,0.0702,clIscA1/clCry4,126,186.22884012539183,178.0,186.0,193.0
605,4,369,384,80,52,0.0702,clIscA1/clCry4,225,179.3643292682927,171.0,180.0,186.0
647,4,369,384,81,52,0.0702,clIscA1/clCry4,27,200.9934508816121,193.0,201.0,207.0
437,4,369,384,81,52,0.0702,clIscA1/clCry4,189,179.23431372549018,172.0,178.0,185.0
479,4,370,384,80,52,0.0702,clIscA1/clCry4,198,181.5400885391048,174.0,182.0,187.0
143,4,369,384,81,52,0.0702,clIscA1/clCry4,135,190.22044088176352,183.0,190.0,195.0
395,4,370,384,80,52,0.0702,clIscA1/clCry4,180,181.74375955170655,175.0,182.0,187.0
353,4,369,384,81,52,0.0702,clIscA1/clCry4,18,202.3646138807429,195.0,202.0,208.0
311,4,369,384,81,52,0.0702,clIscA1/clCry4,171,183.76358839050133,177.0,184.0,191.0
269,4,369,384,81,52,0.0702,clIscA1/clCry4,162,182.41646008924144,175.0,182.0,187.0
185,4,369,384,81,52,0.0702,clIscA1/clCry4,144,181.50175262894345,175.0,181.0,187.0
227,4,369,384,81,52,0.0702,clIscA1/clCry4,153,184.6585489599188,178.0,185.0,190.0
563,4,370,384,80,52,0.0702,clIscA1/clCry4,216,175.4587657018023,169.0,175.0,182.0
689,4,369,384,81,52,0.0702,clIscA1/clCry4,36,196.6020812685828,188.0,196.0,202.0
521,4,369,384,80,52,0.0702,clIscA1/clCry4,207,179.11428571428573,171.0,179.0,185.0
815,4,369,384,81,52,0.0702,clIscA1/clCry4,63,195.30437044745057,188.0,196.0,200.0
857,4,369,384,81,52,0.0702,clIscA1/clCry4,72,194.145482388974,186.0,194.0,200.0
983,4,369,384,81,52,0.0702,clIscA1/clCry4,90,193.93942354665364,186.0,194.0,200.0
59,4,369,384,81,52,0.0702,clIscA1/clCry4,117,190.16501976284584,183.0,190.0,195.0
899,4,369,384,81,52,0.0702,clIscA1/clCry4,81,195.26814814814816,188.0,196.0,201.0
773,4,369,384,81,52,0.0702,clIscA1/clCry4,54,194.77069133398248,187.0,195.0,200.0
1025,4,369,384,81,52,0.0702,clIscA1/clCry4,99,190.58902077151336,184.0,190.0,196.0
731,4,369,384,81,52,0.0702,clIscA1/clCry4,45,195.60281280310377,189.0,195.0,201.0
17,4,369,384,81,52,0.0702,clIscA1/clCry4,108,192.34707903780068,184.0,192.0,199.0
941,4,369,384,81,52,0.0702,clIscA1/clCry4,9,201.47678482276584,194.0,201.0,207.0
390,3,369,288,77,49,0.0801,clIscA1/clCry4,180,181.61647727272728,175.0,183.0,185.0
306,3,369,288,77,49,0.0801,clIscA1/clCry4,171,183.2805208898535,176.0,184.0,187.0
978,3,369,288,77,49,0.0801,clIscA1/clCry4,90,191.61860718171928,183.0,192.0,197.0
474,3,369,288,77,49,0.0801,clIscA1/clCry4,198,180.94141531322504,173.0,183.0,185.0
894,3,369,288,77,49,0.0801,clIscA1/clCry4,81,193.47516930022573,186.0,194.0,198.0
432,3,369,288,77,49,0.0801,clIscA1/clCry4,189,178.28741800834823,171.0,179.0,184.0
138,3,369,288,77,49,0.0801,clIscA1/clCry4,135,188.84834398605463,181.0,189.0,194.0
852,3,369,288,77,49,0.0801,clIscA1/clCry4,72,191.5133928571429,184.0,193.0,197.0
936,3,369,288,77,50,0.0801,clIscA1/clCry4,9,197.91123595505616,191.0,199.0,202.0
12,3,369,288,77,49,0.0801,clIscA1/clCry4,108,189.7926089354661,182.0,189.0,195.0
684,3,369,288,77,49,0.0801,clIscA1/clCry4,36,193.5949656750572,186.0,195.0,200.0
348,3,369,288,77,50,0.0801,clIscA1/clCry4,18,199.6434494195688,192.0,201.0,205.0
726,3,369,288,77,49,0.0801,clIscA1/clCry4,45,192.5153801508996,185.0,193.0,198.0
222,3,369,288,77,49,0.0801,clIscA1/clCry4,153,183.6848484848485,177.0,184.0,188.0
642,3,369,288,77,49,0.0801,clIscA1/clCry4,27,197.1140301844606,190.0,198.0,202.0
96,3,369,288,77,49,0.0801,clIscA1/clCry4,126,184.59477866061292,177.0,185.0,190.0
768,3,369,288,77,50,0.0801,clIscA1/clCry4,54,192.1792828685259,185.0,193.0,197.0
1020,3,369,288,77,49,0.0801,clIscA1/clCry4,99,188.55090497737555,182.0,190.0,193.0
180,3,369,288,77,49,0.0801,clIscA1/clCry4,144,180.67345783814372,172.0,182.0,186.0
600,3,369,288,77,49,0.0801,clIscA1/clCry4,225,179.40457589285714,171.0,181.0,185.0
810,3,369,288,77,49,0.0801,clIscA1/clCry4,63,193.57922228670924,187.0,194.0,198.0
558,3,369,288,77,49,0.0801,clIscA1/clCry4,216,176.13884204609332,169.0,176.0,181.0
54,3,369,288,77,49,0.0801,clIscA1/clCry4,117,188.11556064073227,182.0,189.0,192.0
264,3,369,288,77,49,0.0801,clIscA1/clCry4,162,180.84722222222223,174.0,182.0,186.0
516,3,369,288,77,49,0.0801,clIscA1/clCry4,207,178.11049416990562,170.0,178.0,184.0
252,1,380,91,75,50,0.0901,clIscA1/clCry4,162,170.20413870246085,164.0,171.0,174.0
294,1,380,91,75,50,0.0901,clIscA1/clCry4,171,170.31684269038354,164.0,171.0,175.0
1008,1,380,91,75,50,0.0901,clIscA1/clCry4,99,176.77911646586347,171.0,177.0,181.0
336,1,380,91,75,50,0.0901,clIscA1/clCry4,18,187.11791642816257,182.0,188.0,191.0
882,1,380,91,75,50,0.0901,clIscA1/clCry4,81,182.282065519156,176.0,183.0,186.0
378,1,380,91,75,50,0.0901,clIscA1/clCry4,180,170.16864608076008,164.0,171.0,174.0
924,1,380,91,75,50,0.0901,clIscA1/clCry4,9,186.789088863892,181.0,188.0,191.0
420,1,380,91,75,50,0.0901,clIscA1/clCry4,189,165.61274804570053,159.0,166.0,171.0
714,1,380,91,75,50,0.0901,clIscA1/clCry4,45,182.37250293772036,177.0,183.0,187.0
462,1,380,91,75,49,0.0901,clIscA1/clCry4,198,169.0807248764415,164.0,169.0,173.0
