,Unnamed: 0,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
5,1,1037,85,51,34,0.0001,zero,108,172.35196195005946,167.0,172.0,178.0
971,1,1037,85,51,34,0.0001,zero,90,179.06196840826246,174.0,179.0,183.0
929,1,1037,85,51,34,0.0001,zero,9,186.65591397849465,182.0,187.0,191.0
887,1,1037,85,51,34,0.0001,zero,81,178.1188725490196,173.0,178.0,182.0
845,1,1037,85,51,34,0.0001,zero,72,176.9856801909308,171.0,177.0,182.0
803,1,1037,85,51,34,0.0001,zero,63,177.0643623361144,171.0,177.0,182.0
761,1,1037,85,51,34,0.0001,zero,54,182.9483793517407,177.0,183.0,188.0
719,1,1037,85,51,34,0.0001,zero,45,182.07314148681056,176.0,182.0,187.0
677,1,1037,85,51,34,0.0001,zero,36,182.23508771929824,176.0,183.0,186.0
635,1,1037,85,51,34,0.0001,zero,27,180.70437956204375,174.0,181.0,186.0
593,1,1037,85,51,34,0.0001,zero,225,167.4320843091335,163.0,167.0,172.0
551,1,1037,85,51,34,0.0001,zero,216,162.56823529411764,157.0,163.0,167.0
1013,1,1037,85,51,34,0.0001,zero,99,174.8032581453634,169.0,176.0,180.0
467,1,1037,85,51,34,0.0001,zero,198,167.74166666666667,161.0,167.0,172.0
425,1,1037,85,51,34,0.0001,zero,189,171.39950678175092,166.0,171.0,176.0
383,1,1037,85,51,34,0.0001,zero,180,172.2429906542056,167.0,171.0,178.0
509,1,1037,85,51,34,0.0001,zero,207,164.08526187576126,158.0,165.0,168.0
131,1,1037,85,51,34,0.0001,zero,135,171.96004700352526,165.0,173.0,176.0
341,1,1037,85,51,34,0.0001,zero,18,181.41267942583733,176.0,181.0,186.0
173,1,1037,85,51,34,0.0001,zero,144,174.69537275064266,170.0,175.0,180.0
299,1,1037,85,51,34,0.0001,zero,171,169.77615571776155,163.0,171.0,174.0
47,1,1037,85,51,34,0.0001,zero,117,176.67995169082127,170.0,176.0,182.0
257,1,1037,85,51,34,0.0001,zero,162,169.53550640279394,163.0,170.0,173.0
215,1,1037,85,51,34,0.0001,zero,153,174.32675709001234,170.0,174.0,180.0
89,1,1037,85,51,34,0.0001,zero,126,174.03245192307693,168.0,174.0,177.0
641,2,1047,182,55,36,0.0002,zero,27,182.808,175.0,183.0,190.0
95,2,1048,183,54,35,0.0002,zero,126,176.07575757575756,168.0,176.0,182.0
809,2,1047,183,55,35,0.0002,zero,63,178.49664429530202,171.0,179.0,184.0
347,2,1047,183,55,35,0.0002,zero,18,181.8598233995585,177.0,182.0,187.0
53,2,1048,183,54,34,0.0002,zero,117,177.18729096989966,169.0,177.0,184.0
893,2,1047,183,55,35,0.0002,zero,81,180.9108138238573,174.0,181.0,186.0
935,2,1047,183,55,35,0.0002,zero,9,187.87238723872383,181.0,188.0,193.0
11,2,1047,183,55,34,0.0002,zero,108,175.4906900328587,168.0,176.0,181.0
977,2,1048,183,54,35,0.0002,zero,90,180.50597176981543,172.0,180.0,186.0
767,2,1048,183,54,35,0.0002,zero,54,184.6442731277533,178.0,184.0,190.0
851,2,1047,183,55,35,0.0002,zero,72,178.85839736553237,171.0,179.0,186.0
683,2,1047,183,55,35,0.0002,zero,36,183.39444444444445,176.0,184.0,189.0
137,2,1048,183,54,34,0.0002,zero,135,174.4013230429989,167.0,175.0,181.0
179,2,1048,183,54,35,0.0002,zero,144,176.4836527621195,170.0,176.0,183.0
599,2,1048,183,54,34,0.0002,zero,225,171.4737417943107,165.0,171.0,177.0
557,2,1048,183,54,34,0.0002,zero,216,162.27272727272728,155.0,163.0,168.0
221,2,1048,183,54,35,0.0002,zero,153,176.11627906976744,169.0,175.0,182.0
515,2,1048,183,54,34,0.0002,zero,207,167.79501084598698,160.0,167.0,174.0
473,2,1048,183,54,34,0.0002,zero,198,167.76674107142858,159.0,167.0,174.0
263,2,1048,183,54,34,0.0002,zero,162,170.74190064794817,162.0,171.0,177.0
431,2,1048,183,54,34,0.0002,zero,189,174.1273122959739,167.0,174.0,179.0
389,2,1048,183,54,34,0.0002,zero,180,173.0309050772627,166.0,172.0,180.0
305,2,1048,183,54,35,0.0002,zero,171,172.4732824427481,165.0,173.0,178.0
725,2,1048,183,54,35,0.0002,zero,45,184.0184782608696,176.0,183.0,190.0
1019,2,1048,183,54,35,0.0002,zero,99,176.59845132743362,170.0,177.0,181.0
