,Unnamed: 0,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
867,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),72,190.5870032223416,183.0,192.0,195.0
489,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),198,179.93392763502885,173.0,181.0,184.0
69,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),117,185.6643943366544,180.0,187.0,189.0
657,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),27,194.4745493107105,188.0,195.0,199.0
993,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),90,189.766391184573,183.0,190.0,195.0
363,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),18,197.21726041144004,190.0,198.0,201.0
195,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),144,180.02142110762802,174.0,181.0,184.0
741,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),45,189.52028762198253,184.0,190.0,194.0
237,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),153,182.76927056389036,176.0,183.0,187.0
699,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),36,192.10088403536145,185.0,193.0,196.0
909,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),81,189.9206106870229,184.0,190.0,195.0
321,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),171,183.84044233807268,178.0,185.0,188.0
111,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),126,184.7690260777009,178.0,186.0,188.0
447,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),189,178.80446927374302,172.0,179.0,184.0
951,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),9,194.6880589163598,189.0,195.0,199.0
573,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),216,174.7667714884696,168.0,175.0,180.0
279,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),162,179.67708333333334,173.0,180.0,184.0
783,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),54,190.22013562858632,183.0,191.0,194.0
153,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),135,187.3674418604651,180.0,188.0,192.0
825,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),63,189.71798941798943,184.0,190.0,194.0
405,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),180,178.7416909620991,172.0,179.0,184.0
1035,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),99,186.0010752688172,179.0,186.0,190.0
27,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),108,190.3302752293578,183.0,190.0,195.0
531,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),207,179.44578313253012,172.0,180.0,184.0
615,6,372,576,80,50,0.0601,clIscA1/clCry4(LB +FAC),225,179.64329580348004,173.0,181.0,183.0
877,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),72,198.16361339229312,191.0,199.0,204.0
961,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),9,203.2219730941704,196.0,204.0,208.0
163,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),135,196.1833426495249,190.0,196.0,200.0
625,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),225,186.5401098901099,181.0,187.0,190.0
457,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),189,186.1537530266344,181.0,186.0,191.0
373,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),18,204.94338565022423,198.0,206.0,209.0
121,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),126,192.116515232496,185.0,193.0,196.0
415,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),180,187.94927536231884,180.0,189.0,192.0
79,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),117,195.19235364396656,188.0,196.0,201.0
667,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),27,203.1310942578548,196.0,204.0,207.0
289,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),162,187.92454954954957,181.0,188.0,192.0
205,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),144,187.1012658227848,181.0,187.0,191.0
1045,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),99,195.0289371174179,189.0,196.0,199.0
541,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),207,186.39375684556407,181.0,187.0,190.0
793,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),54,198.45479452054795,191.0,199.0,203.0
751,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),45,197.6232453677709,191.0,198.0,202.0
37,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),108,196.4536213468869,191.0,197.0,202.0
247,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),153,190.93246311010216,185.0,192.0,195.0
709,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),36,199.66310160427807,193.0,200.0,204.0
331,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),171,192.21650055370984,186.0,192.0,197.0
583,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),216,185.09367816091955,178.0,186.0,190.0
835,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),63,197.3978853644964,192.0,198.0,201.0
499,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),198,188.92798240791643,182.0,190.0,193.0
1003,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),90,197.32080924855487,190.0,198.0,202.0
919,8,411,767,78,49,0.0602,clIscA1/clCry4(LB +FAC),81,199.0362277170788,192.0,200.0,204.0
904,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),81,189.870822622108,182.0,192.0,197.0
694,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),36,190.69402985074623,181.0,193.0,197.0
232,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),153,182.85002862049228,172.0,185.0,189.0
190,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),144,179.68298235628913,169.0,181.0,186.0
736,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),45,189.40364439536168,180.0,191.0,195.0
400,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),180,180.1821793416572,170.0,182.0,185.0
316,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),171,183.6955517042172,174.0,185.0,191.0
820,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),63,189.612846199175,180.0,192.0,196.0
274,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),162,179.1455525606469,171.0,181.0,187.0
862,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),72,189.6994601079784,180.0,192.0,197.0
778,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),54,189.7056837366348,180.0,191.0,196.0
358,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),18,195.88986301369863,186.0,197.0,202.0
568,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),216,176.47359735973598,167.0,178.0,183.0
148,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),135,187.66245883644348,178.0,189.0,194.0
64,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),117,186.69747416762343,176.0,188.0,194.0
610,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),225,179.8450292397661,170.0,182.0,187.0
484,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),198,181.2014348785872,171.0,183.0,187.0
988,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),90,189.7465258476932,179.0,191.0,197.0
106,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),126,184.59166666666667,174.0,186.0,191.0
1030,5,375,486,78,49,0.0701,clIscA1/clCry4(LB +FAC),99,186.80563224737716,176.0,189.0,192.0
