,Unnamed: 0,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
5,1,1033,83,62,42,0.0001,zero,108,171.25560975609756,168.0,172.0,175.0
971,1,1033,83,62,42,0.0001,zero,90,170.86906710310964,168.0,171.0,174.0
929,1,1033,83,62,42,0.0001,zero,9,177.7382875605816,175.0,178.0,181.0
887,1,1033,83,62,42,0.0001,zero,81,171.88288288288288,169.0,172.0,175.0
845,1,1033,83,62,42,0.0001,zero,72,172.93684210526317,169.0,173.0,176.0
803,1,1033,83,62,42,0.0001,zero,63,172.21028037383178,168.0,173.0,175.0
761,1,1033,83,63,42,0.0001,zero,54,174.48941368078175,170.0,175.0,178.0
719,1,1033,83,62,42,0.0001,zero,45,172.17459016393445,168.0,173.0,175.0
677,1,1033,83,62,42,0.0001,zero,36,174.86920152091255,171.0,175.0,177.0
635,1,1033,83,62,42,0.0001,zero,27,178.1972049689441,175.0,179.0,181.0
593,1,1033,83,62,42,0.0001,zero,225,156.7906050955414,153.0,158.0,159.0
551,1,1033,83,62,42,0.0001,zero,216,155.93088363954504,153.0,156.0,159.0
1013,1,1033,83,62,42,0.0001,zero,99,167.94532488114103,164.0,168.0,170.0
467,1,1033,83,62,42,0.0001,zero,198,159.56349206349208,156.0,160.0,161.0
425,1,1033,83,62,42,0.0001,zero,189,159.21819713563605,156.0,160.0,162.0
383,1,1033,83,62,42,0.0001,zero,180,157.61859732072497,155.0,157.0,161.0
509,1,1033,83,62,42,0.0001,zero,207,157.4313725490196,154.0,159.0,161.0
131,1,1033,83,62,42,0.0001,zero,135,167.57177615571777,164.0,168.0,171.0
173,1,1033,83,62,42,0.0001,zero,144,160.65328185328184,156.0,162.0,162.0
299,1,1033,83,62,42,0.0001,zero,171,163.23880597014926,159.0,163.0,167.0
47,1,1033,83,62,42,0.0001,zero,117,167.35274542429283,164.0,168.0,170.0
257,1,1033,83,62,42,0.0001,zero,162,158.51239669421489,155.0,159.0,161.0
341,1,1033,83,62,42,0.0001,zero,18,180.84064665127025,176.0,182.0,183.0
215,1,1033,83,62,42,0.0001,zero,153,163.96043444530645,160.0,165.0,166.0
89,1,1033,83,62,42,0.0001,zero,126,165.19646968534153,162.0,165.0,168.0
767,2,1045,181,66,41,0.0002,zero,54,183.40014847809948,175.0,184.0,188.0
95,2,1045,181,66,41,0.0002,zero,126,175.46940298507462,167.0,175.0,181.0
809,2,1045,181,65,41,0.0002,zero,63,181.0531587057011,176.0,181.0,185.0
347,2,1045,181,66,41,0.0002,zero,18,191.0942965779468,183.0,192.0,196.0
893,2,1045,181,65,41,0.0002,zero,81,181.70700152207,175.0,183.0,186.0
935,2,1045,181,66,41,0.0002,zero,9,187.2814871016692,180.0,188.0,192.0
11,2,1045,181,66,41,0.0002,zero,108,182.4563909774436,174.0,183.0,187.0
977,2,1045,181,65,41,0.0002,zero,90,181.4259681093394,173.0,182.0,186.0
851,2,1045,181,66,41,0.0002,zero,72,182.6810408921933,174.0,184.0,188.0
53,2,1045,181,65,41,0.0002,zero,117,175.59138187221396,169.0,175.0,181.0
683,2,1045,181,66,41,0.0002,zero,36,184.3216679076694,176.0,185.0,189.0
137,2,1045,181,65,41,0.0002,zero,135,175.7390625,169.0,175.0,180.0
641,2,1045,181,66,41,0.0002,zero,27,188.20614692653672,181.0,188.0,193.0
179,2,1045,181,65,41,0.0002,zero,144,171.03363914373088,163.0,171.0,176.0
599,2,1045,181,65,41,0.0002,zero,225,166.12451361867704,160.0,166.0,171.0
557,2,1045,181,65,41,0.0002,zero,216,164.7968992248062,158.0,166.0,169.0
221,2,1045,181,65,41,0.0002,zero,153,171.35126825518833,164.0,172.0,176.0
515,2,1045,181,65,41,0.0002,zero,207,166.16641452344933,160.0,168.0,170.0
473,2,1045,181,65,41,0.0002,zero,198,167.8671041837572,161.0,168.0,174.0
263,2,1045,181,65,41,0.0002,zero,162,169.75094055680964,162.0,171.0,174.0
431,2,1045,181,65,41,0.0002,zero,189,168.40790454884416,160.0,170.0,173.0
389,2,1045,181,65,41,0.0002,zero,180,168.41601866251943,160.0,170.0,172.0
305,2,1045,181,66,41,0.0002,zero,171,171.53504144687264,163.0,171.0,178.0
725,2,1045,181,65,41,0.0002,zero,45,181.24295506473723,175.0,181.0,186.0
1019,2,1045,181,65,41,0.0002,zero,99,175.45349730976173,169.0,177.0,180.0
