,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
1,444,66,75,60,0.96,clIscA1(LB +FAC),108,187.5559289486318,183.0,188.0,190.0
1,584,67,70,57,0.23,clIscA1(LB +FAC),108,182.0448256779192,180.0,181.0,185.0
1,717,71,69,56,0.7,clIscA1(LB +FAC),108,178.58577165806082,174.0,179.0,181.0
1,853,59,72,56,2.35,clIscA1(LB +FAC),108,187.69919110212336,183.0,189.0,189.0
1,982,63,75,57,0.7,clIscA1(LB +FAC),108,189.0125968992248,186.0,189.0,191.0
2,432,178,79,59,0.58,clIscA1(LB +FAC),108,198.750353940538,194.0,199.0,202.0
2,573,184,75,58,5.27,clIscA1(LB +FAC),108,196.62957811775615,190.0,198.0,200.0
2,723,180,74,56,0.12,clIscA1(LB +FAC),108,197.90184994861255,189.0,198.0,204.0
2,860,182,75,58,1.56,clIscA1(LB +FAC),108,193.31360946745562,185.0,192.0,199.0
2,994,180,74,54,0.68,clIscA1(LB +FAC),108,200.20227625452665,194.0,200.0,206.0
3,431,301,79,59,0.39,clIscA1(LB +FAC),108,193.27597254004576,186.0,194.0,198.0
3,576,291,77,57,0.18,clIscA1(LB +FAC),108,197.37151702786377,189.0,198.0,204.0
3,726,292,76,58,9.07,clIscA1(LB +FAC),108,194.5129205265724,189.0,194.0,198.0
3,870,298,76,57,1.9,clIscA1(LB +FAC),108,189.67364990689012,181.0,189.0,197.0
3,998,294,74,53,2.51,clIscA1(LB +FAC),108,198.44100054377378,191.0,198.0,204.0
4,435,411,79,58,0.32,clIscA1(LB +FAC),108,195.53740247820102,188.0,197.0,200.0
4,580,409,77,58,4.11,clIscA1(LB +FAC),108,201.21520190023753,190.0,201.0,207.0
4,716,409,75,57,0.42,clIscA1(LB +FAC),108,197.33543383422202,189.0,198.0,202.0
4,872,406,76,56,1.06,clIscA1(LB +FAC),108,195.64811031664965,188.0,197.0,202.0
4,1000,410,72,54,4.28,clIscA1(LB +FAC),108,195.9828539823009,187.0,197.0,203.0
5,429,521,79,58,0.19,clIscA1(LB +FAC),108,195.9949679780421,189.0,197.0,199.0
5,586,522,76,57,2.1,clIscA1(LB +FAC),108,205.18125323666493,198.0,205.0,208.0
5,725,524,75,56,0.35,clIscA1(LB +FAC),108,198.42694187941336,191.0,198.0,205.0
5,869,523,76,57,11.25,clIscA1(LB +FAC),108,191.8449848024316,182.0,190.0,198.0
5,1001,523,69,50,2.36,clIscA1(LB +FAC),108,191.41481950601647,185.0,191.0,198.0
6,441,635,78,57,0.0001,clIscA1(LB +FAC),108,198.53404353867532,190.0,198.0,205.0
6,575,638,74,56,1.9,clIscA1(LB +FAC),108,205.61899378179763,198.0,205.0,212.0
6,721,636,74,56,0.4,clIscA1(LB +FAC),108,204.3086232980333,198.0,205.0,209.0
6,873,634,75,55,11.3,clIscA1(LB +FAC),108,199.79769392033543,192.0,199.0,206.0
